sentence	sentence_in_source_language_Japanese	sentence_in_target_language_English
#0005	山田はみんなに好かれるタイプの人だと思う	I think that Yamada is the type everybody likes.
#0010	それは桃山時代前後の作品だと思います	I think this was made around the Momoyama Period.
#0011	それは昭和初期の映画だと思います	I think this movie is from the early Showa Period.
#0015	彼が常に上の存在であって欲しいと思います	I don't want to be better than him.
#0018	私は、五十時間もかかると、時間が惜しい気がする	"If I spend fifty hours, I feel like I wasted my time."
#0029	彼が計画案の提出期限を一年以内としました	He set a within-the-year deadline for the proposed plans.
#0034	３０．２％の方が販売員の意見を参考にする	30.2% of people take salesperson opinion into account.
#0038	認知症を患った人たちが共同生活をしている	People suffering from dementia are living together.
#0042	一定期間のパスポートの残存期間を必要とします	There should be a definite term remaining on the passport.
#0049	あなたが移し変えの時間を１秒にしました	You shortened the moving time to 1 second.
#0052	中学校の２年生が職場体験をしました	The junior high 8th graders went to observe workplaces.
#0063	予算の総額を２億２８４万円とする	The total budget is 2.84 million yen.
#0066	スタッフが作品づくりの手伝いをします	Our staff can help you create it.
#0067	臨床的研究の発展並びに診療レベルの向上を目的とする	Our purpose is improving the development of clinical approaches and the standards of medical practice.
#0070	委員会の人たちが、あいさつ運動をしました	Committee members conducted a greeting exercise.
#0074	子供たちの代表が親や祖父母の人たちにお礼の挨拶をした	The representative of the children expressed words of thanks for their parents and grandparents.
#0079	結構な数の会社に私がお願いの電話をした	I called quite a few companies to ask for that.
#0083	ダイヤの鑑定士の資格をもった人が検査をします	It will be examined by a qualified diamond appraiser.
#0099	女装を密かに楽しむ方を対象にします	It is targeted at those who secretly enjoy dressing in drag.
#0100	アフリカに関心のある人たちが、情報や意見の交換をします	Those who have interests in Africa exchange information and ideas with each other.
#0105	彼が建築会社で足場関係の仕事をしています	He is engaged in a scaffolding-related work at a construction company.
#0106	製品の設定を工場出荷時の設定にします	Reset the product to the factory default settings.
#0111	彼が一緒に夕食作りや菓子作りの手伝いをします	He helps to cook the dinner and desserts
#0129	担当スタッフが、職人さんと打合せをします	The people in charge will meet with the craftsmen.
#0135	何人もの人達が記念撮影をしました	Many people took photos to remember it by.
#0141	４人が、きのう、山田市長に受賞報告をしました	"Yesterday, 4 people reported the awards to Mayor Yamada."
#0143	彼が彼女の唇におはようのキスをする	He gave her a morning kiss on her lips.
#0151	ヨーロッパ方面の居住者の方には、商品の販売をしません	Merchandise is not sold to European residents.
#0156	ご家族の負担の軽減を目的にサービスの提供をします	We provide services to alleviate your family's burden.
#0157	二人の女優が男性ファンの目をくぎ付けにした	The two actresses firmly attracted male fans’ attention.
#0158	その契約をショッピングの会社がします	That contract is to be signed by the shopping company.
#0169	山田と佐藤が一緒に歌の練習をする	Yamada and Sato practice singing together.
#0171	山田さんと音声の人が時間の調整などをした	Mr. Yamada and the sound guy arranged the time and other details.
#0173	消費者が、クレジットカード会社に入会申込みをします	Consumers apply to the credit card company.
#0181	上司からの力強い言葉に眩暈がした	The boss' powerful words were dizzying
#0185	目の前の人たちが自分に期待をしている	People in front of me have expectations on me.
#0189	計画案の提出期限を、原則として一年以内としました	It was decided that plans should be submitted within one year.
#0193	彼が市長に事前協議の申請をします	He asks the mayor to make preliminary arrangements.
#0195	１年生が鍵盤ハーモニカの学習をしました	Students in the first grade learned how to play the harmonica.
#0196	１５００万人以上の人が海外旅行をします	More than 15 million people go on overseas trips.
#0204	家づくりで何も知らない人がこんな計算をします	Someone who didn't know anything about house-building would come up with a figure like that.
#0209	ずる賢い人間が、バカの大将の振りをする	Smart people pretend to be a dumb.
#0215	彼が各保険会社に資料請求をします	He requests information materials from each insurance company.
#0218	１日から１５日までが納税証明書の送信期間とする	The certificate of tax payment must be sent between the 1st and the 15th.
#0220	ほとんどの人がアクションの訓練をする	The majority of people have action training.
#0221	左翼及び反体制派の人たちが話し合いをした	The left-wingers and dissidents had a discussion.
#0223	何でも完璧にこなすと思っていた人が失敗をする	Even the one we thought could do it perfectly could mess up.
#0230	それを見ていた人が注意をしました	The person who saw it gave a warning.
#0232	パ・リーグファンの私自身が今からわくわくします	I'm getting excited as a Pacific League fan.
#0233	脾臓摘出は５歳までに５６％がする	56% of them had their spleens removed by the age of 5.
#0235	山田君の母親が、先生に相談をしました	Yamada's mother consulted with the teacher.
#0240	多くの学生が、アルバイトをします	Many students have part-time jobs.
#0244	とてもむし歯予防に効果が有ります	It is very effective in preventing tooth decay.
#0249	２期梅毒の場合は、すべてに感染の危険性が有ります	"For phase II syphilis, all of them are at risk of infection."
#0256	それは、仲間にするかどうかにはまったく関係が有りません	That has absolutely nothing to do with being friends or not.
#0265	車で１時間かかる場所にお店が有ります	There is a shop about an hour's drive from here.
#0268	日本食に関しては、安全なイメージが私には有ります	I have an impression that Japanese foods are safe.
#0270	献身的に行動する人を好きになる傾向が私には有る	I tend to love people who act devotedly.
#0271	エンコードの方法にいくつも種類が有る	There are many encoding methods.
#0273	待ち合わせ時刻まで、まだ時間が有ります	There is a while before the scheduled time.
#0278	紅葉の名所が能楽の舞台となっている所が全国には多々有ります	There are many spots all over the country famous for their fall leaves that have provided the setting for Noh dramas.
#0279	山田さんからは、大変苦労された旨の話が有りました	Mr. Yamada said that he had faced tremendous difficulties.
#0282	聖書の中にこういう言葉が有ります	Sayings like that are in the Bible.
#0283	それは、血行を促進する働きが有ります	It's good for stimulating blood circulation.
#0284	もちろん私どもには守秘義務が有ります	"We are, of course, obligated to keep it secret."
#0285	もちろん院に、そして院長の私に全ての責任が有る	"The hospital, and I, the director of hospital, certainly take full responsibility."
#0288	委員会では、今年度中に完成させたい旨の報告が有りました	"In the committee, there was a report that they want to complete it by the end of this fiscal year."
#0290	このページには２件の情報が有ります	There are two pieces of information on this page.
#0294	現場からは評価されないケースが多々有ります	There are many cases where an appraisal can't be made on the spot.
#0296	インデックス作成のコストと検索コストがトレードオフの関係に有る	The costs of index creation and retrieval are related to the transactions.
#0297	国保税の減免制度には、二つの制度が有る	There are two kinds of tax reduction and exemption systems for the national health insurance tax.
#0298	ほとんどの島にこのような物が一つは有る	Nearly every island has one like that.
#0302	業務系システムの開発に多数の実績が有ります	There are many actual achievements in the development of business systems.
#0307	彼がどうするつもりかを、私にはっきり言った	He told me clearly what he intended to do.
#0308	山田さんがほっとしたように私に言った	Mr./Ms. Yamada sounded relieved to tell me.
#0309	自家製麺を使っている店が全体の８割にもなると言う	Shops that make their own noodles are said to account for 80% of shops.
#0318	中途脱退者とは、加入期間が１５年未満で年齢が６０歳未満の者を言います	Dropouts are those who have been a part for less than fifteen years and are under the age of 60.
#0320	彼が先生や友達にはっきり自分の意見を言う	He clearly tells his teacher and friends about his own opinions.
#0324	気象条件とは選択した項目が設定値より大の状態を言う	The meteorological condition refers to the state in which the item selected is larger than the set value.
#0325	彼が６０カ国以上の地域で１０年ちかくの活動を行った	He spent nearly ten years working in parts of more than 60 countries.
#0326	彼が主に加工技術の改善研究を行います	He mainly conducts research on the improvement of process technologies.
#0327	彼が定期的に血圧コントロールや服薬状況の調査を行います	He regularly checks the blood pressure control and medication.
#0328	大学では、主に以下の事業を行います	The following projects are mainly performed at universities.
#0329	われわれがそれの他に、全ての関連業務を行います	We perform all the related business besides this.
#0330	われわれが地域の方々に積極的に活動の支援を行います	We actively support work in other regions.
#0331	われわれが医療従事者向けに感染症情報や医療情報の提供を行います	We provide information on infectious diseases and medical treatment to medical practitioners.
#0332	われわれが介護の必要な方に日常生活の援助を行います	We provide daily life assistance for those who need it.
#0333	彼が一緒に昔のおもちゃ作りを行いました	He made old-fashioned toys with me/them.
#0334	彼が継続的にブログシステムの改善を行います	He continuously improves the blog system.
#0335	彼があのタイトルで１８分の発表を行った	He delivered an 18-minute speech on the subject
#0336	教授が本テーマで基調講演を行った	The professor gave a keynote speech on this theme.
#0337	彼がセミナーの実施方法の検討を行う	He will review how the seminar is implemented.
#0338	彼が活発に地域子育て情報の発信・交換を行っています	He actively sends and exchanges information on regional child rearing.
#0339	業者が随時危険箇所の補修を行いました	The workers repaired the dangerous places as needed.
#0340	希望者多数の場合は彼が日程の調整を行います	"If there are too many applicants, he will adjust the schedule."
#0341	彼が随時、機能の変更や具合の修正などを行います	He will change the function and fix how it works as needed.
#0342	事前に協議を行わなければならない	Prior discussion has to be conducted.
#0344	彼が体育館で１時間半の練習を行います	He exercises in the gymnasium for an hour and a half.
#0345	当館では、事前に、催し物主催者と打合せを行います	We will have am advance meeting with the event organizer in this hall.
#0347	彼が企業のビジネスブランド開発・コンサルティングを行う	He does corporate business brand development and consultation.
#0348	データ登録にはまず情報のカテゴリ登録を行います	"In order to register the data, first register the category information."
#0350	注文の方には必ず注文内容の確認を行います	We will ask you to confirm your order.
#0351	彼がまず毎朝の健康チェックを行います	He does a health check first thing every morning.
#0352	当社ではオリジナル刺繍ワッペンの製作及び刺繍商品の製作販売を行います	"Our company makes original embroidered badges, and manufactures and sells embroidered goods."
#0353	市役所が行政資料の有償頒布を行っています	The municipal government is distributing the administrative data for a fee.
#0354	彼が材料物性，寿命特性の評価を行った	He evaluated the physical property and longevity traits.
#0357	それが自動的に終了時間の計算を行う	It will automatically calculate the termination time.
#0359	プログラムが自動で株式の売買を行います	The program automatically performs stock transactions.
#0360	われわれが社員向けに以下の各種サービスを行います	We provide the following array of services to our company employees:
#0361	彼が中小企業向けの経営コンサルティングサービスを行う	He provides management consulting services to small and medium-sized enterprises.
#0363	当社が会場のセッティングを行いました	Our company arranged the meeting place.
#0364	本サービスを提供するにあたり、以下の行為を行ってはならない	The following behavior is not allowed during the provision of this service.
#0365	彼が国会前座り込みと議員要請行動を１１時から１時の間に行います	He will hold a sit-in in front of the Diet and petition members of the Diet from 11:00 a.m to 1:00 a.m.
#0366	新規のお客様には、事前にスタッフが料金・内容等の説明を行います	The staff explains costs and content to new customers in advance.
#0368	以下のとおり意見の募集を行います	Opinions will be solicited as indicated below.
#0370	彼が企業向けに業務システムの提案を行います	He puts forward proposals for enterprise business system.
#0371	教育再生会議が、７つの提言を行いました	Seven proposals were put forward at the educational reform meeting
#0373	管理者が速やかに個人情報の削除を行います	The administrator promptly deletes personal information.
#0374	彼が事前に所定の入学資格審査を行います	He does the screening for entrance eligibility in advance.
#0375	文化系のサークルが作品の展示を行う	The cultural club will exhibit their works.
#0377	スタッフが当日のエンジンサポートを行います	Our staff will provide that day's engine support.
#0378	実際に使用している方には私が使用方法のアドバイスを行います	I will provide advice concerning the usage to those who are currently using it.
#0380	彼がダイエットする方法をいろいろ考えます	He thinks about different ways to lose weight.
#0381	幸せをどう作っていくべきかをまず自治体が考えていかなければならない	"First of all, municipalities have to think about how to make people happy."
#0383	私がそんなことをいつも考えています	I think about things like that a lot.
#0384	私が具体的には２つの方法を考えている	"Specifically, I have two methods in my mind."
#0386	あとは、それを読んだ人たちが何を考えるかだ	The rest will depend on what those who read the book think.
#0392	一人一人が今一度教育のあり方を考えます	Every single person rethinks how education should be done.
#0393	彼が真剣に、近くの会社に転職を考えた	He seriously thought about switching to a nearby company.
#0394	予定として１２月４日を考えています	It's tentatively planned for December 4th.
#0396	環境問題について、課題と将来の方向を考える	We think about the challenges and future directions of environmental problems.
#0399	当社は住まいと家族の健康を考えます	Our company considers housing and family health. 
#0400	彼が真剣にそれの購入を考えています	He is seriously thinking about buying that.
#0404	銃が入手しにくい社会の仕組みを考えるべきだ	Thought should be given to building a society where it is not easy to obtain guns.
#0407	牛たちが大きな目で私たちをじっと見る	Oxen stare at us with big eyes.
#0408	彼がとりあえず、参観日の様子を見る	Hi is just going to look in on Parent's day for now.
#0413	彼が７月この著者の他の作品を見た	He read something else by this author in July.
#0414	もっと幼児教育関連商品の詳細を見る	Read more on preschool education products.
#0418	詳しくは会社のホームページを見てください	"For more information, please visit the company's home page."
#0422	彼が昨晩、久しぶりに昔の夢を見ました	"Last night, he dreamed about something he hadn't dreamed about in a long time. "
#0428	彼が久しぶりに最近のニュースを見た	He watched the news for the first time in a long while.
#0440	私がひさしぶりに、夕方のワイドショーを見た	I watched an evening tabloid show for the first time in a while.
#0451	彼がもっとこのカテゴリーの商品を見る	He looks at more items in this category.
#0452	彼がメル友募集掲示板の書き込みを見る	He looks at messages on e-mail pen pal message boards.
#0455	子どもを連れ去る所を近所の人が見た	The neighbors saw the child being kidnapped.
#0457	まるで映画のシーンを見ているようだ	It is just like a scene out of a movie.
#0462	彼が、山田の肩越しにパソコンの画面を見た	He looked over Mr. Yamada's shoulder at the computer screen.
#0466	色々な人がこのブログを見ているようです	It seems that various kinds of people are reading this blog.
#0469	彼が喫茶店の窓ガラス越しに外の世界を見た	He saw the outside world through the glass window of the coffee shop.
#0474	時計の秒針の音がとても耳に気持ちが良い	The tick of the second hand sounds nice to me. 
#0476	少しはみ出すくらいでバランスがちょうど良い	The balance is right if it's sticking out a little.
#0488	今から買う人には絶対にそれの方が良い	That's definitely better for anyone buying now.
#0494	この種類が一番糖度と酸味のバランスが良い	This kind is the best in terms of the balance between the sweetness and sourness.
#0514	ヨーロッパの大手ロジスティック企業にはイギリスの企業が多い	There are many British enterprises among large logistics companies in Europe.
#0520	今の医療システムは非常に問題が多い	There are plenty of problems with the current medical system.
#0526	すぐに授業に活かせる内容が多かった	Most of the contents could be put into practical use immediately.
#0527	その映画にはエロティックなシーンが多かった	There were more sex scenes in that movie.
#0529	私は、ソフトな歯触りにとても興味を持ちました	I was very interested in the soft texture of the food.
#0530	もっと社会全体の問題に関心を持つべきだ	There should be more concerns about the problems facing society as a whole.
#0531	そういう人はたいてい自分に絶対の自信を持っている	That kind of person usually has absolute confidence in themselves.
#0532	それは売上を左右する位の力を持っている	It has the power to govern the level of sales.
#0534	それが米政府の政策決定に一定の影響力を持っている	It has a certain influence on U.S. government decision-making.
#0536	それが山田には大きな意味合いを持つ	It has great significance to Yamada.
#0538	子どもはみんな、そういう感性を持っている	All children have that kind of sensibility.
#0539	彼はそれほどの知識を持っていません	He doesn't have that level of knowledge.
#0540	日本は最先端の技術を持っています	Japan has the most advanced technologies.
#0541	その両方の機能を１つのソフトウェアが持っている	One software package includes both functions.
#0543	自分自身がしっかり自分の考えを持つ	I myself have my own firm ideas. 
#0545	１本の木がオスとメスの両方の性質を持ちます	One tree has both male and female characteristics.
#0546	それがヒトの女性ホルモンと類似の構造を持つ	It has a structure that is similar to that of human female sex hormones.
#0548	多くの人は、その言葉にかなりのマイナスイメージを持っている	Many people have a very bad impression of that word.
#0549	３１人が身体に何らかの障害を持つ	31 people have some sort of disability.
#0551	自分が同じ年代の子供を持っている	I have children of about the same age.
#0553	それは、アスファルト混合物とほぼ同じ性能を持っています	It works about the same as asphalt mixtures.
#0555	それが９０年もの歴史を持っていた	That had a ninety-year history.
#0556	彼らの行動には私が責任を持ちます	I am responsible for their behavior.
#0558	それが私たちの生活に大きな関わりを持っています	It has a lot to do with our life.
#0560	全員が一級技能士の資格を持っている	Everyone is a level-one certified technician.
#0561	それぞれがそれぞれに特徴を持っています	Each one has its own characteristics.
#0562	彼は彼女が好きなものを二つ持っている	He has two things that she likes.
#0564	それがかなりの消臭効果を持っています	It is is superb at eliminating odors.
#0566	ある揮発性の物質が、発芽抑制作用を持っている	Certain kinds of volatile substance have germination inhibition effects.
#0567	それぞれがその時代の雰囲気を持ってます	Each has the atmosphere of its time.
#0571	そういった認識を職員が持ち続けます	Employees always have that kind of understanding.
#0572	当社は多くの娯楽施設・商業施設に３０年以上の実績を持ちます	We have over thirty years of experience with entertainment and commercial facilities.
#0575	解っている人間の方が心に余裕を持て	Those who understand that should stay on the safe side.
#0583	まだ全ての方が自分のホームページを持っていません	Not everyone has their own home page already.
#0584	ほとんどの人が瞑想の時間を持っていた	Most people spent time on meditation.
#0585	彼が全身革の服をきて手にはカメラを持っていた	He was dressed all in leather and had a camera in his hand.
#0586	彼は正確な情報をほとんど持っていなかった	He had very little accurate information.
#0588	それぞれが味や香りに個性を持っている	Each has its characteristics in taste and aroma.
#0590	ゲーム産業の未来に、誰もが希望を持っていた	Everyone had hope in the game industry.
#0592	全ての人が携帯電話を持っているわけではない	Not everyone has a mobile phone.
#0601	日本から簡単に日本語でホテルの予約が出来る	It's easy to book a hotel from Japan in Japanese.
#0611	自由にリアルタイムに活動が出来ます	You do activities freely in real time.
#0612	１１時前にお店に行ったときにはすでに３０人近くの行列が出来ていた	Approximately 30 people were lined up in front of the store when I went there before 11 o'clock.
#0615	簡単にコードレスで携帯経由のネット接続が出来る	You can easily have a wireless Internet connection via mobile phone.
#0616	要介護者の場合は、外部の介護保険サービスの利用が出来ます	Anyone who needs nursing care can use the external nursing care insurance service.
#0617	簡単に週間のスケジュール設定が出来ます	A weekly schedule can be set up easily. 
#0619	これを利用する場合、期日、配達時間の指定が出来ます	"When this is used, the date and delivery time can be specified."
#0620	実際にラーメン作りの体験が出来る	You can actually make ramen noodles yourself.
#0621	簡単に毎日のカロリー計算が出来ます	You can easily calculate daily calorie intake.
#0622	慢性疼痛、癌性疼痛の患者の治療が出来る	It's possible to treat patients with chronic or cancer pain.
#0624	匿名の場合は、その後の対応が出来ない	"With anonymity, it's not possible to take care of it later."
#0626	簡単にパスワードの変更が出来ます	You can change your password easily.
#0627	その店は、落ち着いた雰囲気でゆっくり食事が出来る	"The restaurant has a relaxed atmosphere, and you can enjoy a leisurely meal."
#0628	最近なかなかブログの更新が出来ない	I haven't been able to update my blog at all lately.
#0631	それを整理するための時間が、やっと休み中に出来ました	I finally found time to clean up during vacation.
#0635	なかなかコメントの書き込みが出来ない	I rarely have an opportunity to write comments.
#0643	頭が今の状況についていけなかった	My brain couldn't keep up with the current situation.
#0646	それぞれ大満足で帰路につきました	Each one went home completely satisfied.
#0649	僕にはほとんど花粉症の症状が出ない	I rarely have any symptoms of hay fever.
#0654	彼は席を立つとそのまま部屋を出る	He'll leave the room right after he stands up.
#0658	美しい風景には、思わず感嘆の声が出ます	I can't help oohing and aahing when I see beautiful scenery.
#0663	私は、小銭を手にすると、なんだか元気が出ます	I perk up when I score some change.
#0673	あっという間に４０度近くまで熱が出た	My fever jumped up to almost 40 degrees Celsius.
#0676	彼が会社の帰りに地元の駅の改札を出ました	He went/came out the ticket gate at the local railway station on his way home.
#0681	ディレクトリアクセスエラーが出る	I'm getting a directory access error.
#0688	受け身人生を歩んできた人が社会に出る	A passive person enters society.
#0692	ときどきテレビにこんな人が出てくる	People like that appear on TV show sometimes.
#0694	同じようなシーンが映画に出てきた	There was a similar scene in the movie.
#0700	タイミングを誤ると全然スピードが出ません	"If the timing is wrong, there won't be any increase in speed."
#0702	定期に、地方公共団体の機関の検査を受ける	I get an inspection done on a periodic basis by the local public agency.
#0704	彼女が５年前に、大学病院で乳がんの手術を受けました	"5 years ago, she had an operation for breast cancer at the university hospital."
#0705	広告物を出すときには，あらかじめ市長の許可を受けなければなりません	You need to get permission from the mayor before doing any advertising.
#0707	彼があらかじめ市長の承認を受けた	He got the permission from the mayor beforehand.
#0709	選手になるためには、学校で１２ヶ月の教育を受けます	They go to school for 12 months to become athletes.
#0710	それが地中海文化などの影響を受けている	That has been influenced by things like Mediterranean culture.
#0716	彼が山田先生から授業内容の説明を受ける	He receives an explanation of the curriculum from Mr./Ms. Yamada.
#0717	私は、公共車両優先システムの運用が開始された旨の報告を受けた	I received a report that the public vehicle priority system had started.
#0718	彼がまず、企業から仕事の依頼を受ける	"First, he is commissioned by the company."
#0719	私はその質問を多くの方から受けます	Many people ask me the same question.
#0721	ほとんどの人が何らかの損害を受けた	Most people suffered some sort of damages.
#0724	私が全国からすでに１０００件以上の相談を受けました	"I have already received more than 1,000 consultation requests."
#0726	全国で初めて都道府県から直接権限の移譲を受ける	It's the first time in the country that authority was directly transferred from the prefectural and city governments.
#0728	２７０７点が国の重要有形民俗文化財の指定を受けました	"2,707 articles were designated as Important Tangible Folk Cultural Properties."
#0731	水彩講座が、雑誌の取材を受けました	The watercolor class was covered by a magazine.
#0733	現実に目の前に来ている人が勝ちという感じを受けました	I got the feeling that the people actually coming into sight will win.
#0737	５６％の法人が資金の融資を受けた	56% of corporations need financing.
#0739	町長の決定を受けなければならない	The mayor's decision is required.
#0744	それが３０代の女性に多くの支持を受けています	That was greatly supported by women in their thirties.
#0745	彼が内閣総理大臣より防災功労者の表彰を受けました	He received the Cabinet Office Disaster Prevention Achievement Award from the Prime Minister.
#0746	労使双方とも期間の制限を受けます	Both management and labor have time restrictions.
#0747	サービスの恩恵を多くの人々が受ける	Many people benefited from the service.
#0761	私には車椅子なんか全く必要が無い	I don't need a wheelchair at all.
#0769	意味を間違って覚えていた例は、枚挙に暇が無い	There are too many examples of something being learned incorrectly to mention.
#0770	この周辺にはそういう場所が殆ど無い	There aren't very many places like that around here.
#0773	そんな機関にこんな情けない若造が所属している訳が無い	It's unbelievable that wretched brat like that belongs to the organization.
#0774	本人にそういう気がまったく無かった	He didn't feel that way at all.
#0782	自律を育む精神文化が日本にはまだ無い	There's still no spirituality that nurtures self-sufficiency in Japan.
