worker	sentence	workeranswer
worker15	853	You are not the age that is good to swim alone.
worker15	17	I went to meet him, but was away.
worker15	504	He put salt in coffee by mistake.
worker15	655	Please wake him up without forgetting it at 6:00 on the morning of tomorrow.
worker15	415	Fortunately he was in time for a train.
worker93	624	He never listen to his father.
worker93	305	There are plenty of fish in the sea.
worker93	415	Luckily, he was in time fo the train.
worker93	288	I can't meet you due to emergency work.
worker93	712	You should read a book which you can learn a lot from.
worker93	256	If I pay $1 to you , it's all done.
worker93	123	Put it back to the original place when you finish the book.
worker93	196	I have no idea what she wants to do.
worker93	220	I usually drink 2 cups of coffee every morning.
worker93	315	You should have been there in time if the storm didn't come.
worker98	921	This car does not drive as good as it used to.
worker98	325	It would rain today.
worker98	667	It has been more than 4 years since we contacted each other last time.. 
worker98	363	The thief ran away towards the station.  
worker98	553	I am going to go to buy a ticket.  
worker98	309	She kindly carried my stuff.
worker98	378	Because I do not want to see myself miserable.
worker98	137	Please tell me how to get to the station.
worker98	541	It happens to be a meeting that day.  
worker98	655	Please do not forget to wake me up at 6 AM tomorrow.
worker23	910	I usually look at the newspaper every morning.
worker23	524	I don't want go outside without coat.
worker23	253	 Two politicians met at first time.
worker23	358	This is a book  what my always searching！ 
worker23	261	I can't have it because too heavy to me.
worker23	152	Meary broke a cold sweat by teacher's words.
worker23	567	I interrupted my job for 2-3hours to go hospital.
worker23	504	He had mistake salt into the coffee.
worker23	671	He is very famous in the city.
worker23	853	You are so young that you can't swim alone.
worker101	90	He has no ideas to go to cinema.
worker101	864	Keep practicing after drinking the tea.
worker101	610	It takes 20 minutes to walk to the school from the station.
worker101	279	That is something that she didn’t want to say.
worker101	429	Taking bath is the best way when you’re tired.
worker101	444	One day, I met a classmate in the street.
worker101	697	It’s not difficult for me to pretend to be mother.
worker101	233	This is the most interesting story ever i read.
worker101	481	Please check if we had already booked one room in the hotel.
worker101	275	I made up my mind to become a journalist.
worker97	306	We came to the park by walking few minutes.
worker97	299	Do you think he can do the job?
worker97	462	My pen is old. I want a new one.
worker97	159	The dictionary is useful and inexpensive.
worker97	840	You had better talk to him.
worker97	794	It's been 10 years since I started living here.
worker97	916	It is too late to know the difference.
worker97	380	The boys sometimes played a prank to their teacher.
worker97	33	It is kind of her to show the town for me.
worker97	128	Tom has kept talking on the phone for an hour.
worker0	927	Surely,I do not mean to say such a thing.
worker0	393	It is fun to travel in a car.
worker0	822	Please tell me the way to his house.
worker0	626	As soon as he heard the news, he burst into tears.
worker0	875	I will have John repair my watch.
worker0	848	How long will it arrive?
worker0	439	You regard my opinion as out of date.
worker0	549	Newspapers are very valuable in the present world.
worker0	805	Please be sure to take notes on what she says.
worker0	203	I'm supposed to go to New York next week.
worker100	804	It rains a lot in June in Japan.
worker100	334	It is certain that the airplane arrive on time.
worker100	646	I make it a rule to walk early morning.
worker100	22	Her face came to my mind at first.
worker100	304	We didn't look at any stars in the sky.
worker100	834	I used to wake up early morning and go to fishing.
worker100	450	You can go to the station in any road.
worker100	51	I go back home untill six o'clock.
worker100	318	My friends sent me a letter asking how I was.
worker100	10	Let's go home before it rains hard.
worker92	542	He rarely go watch movies.
worker92	87	I thought I shouldn't sit.
worker92	917	He has a bike not only a car.
worker92	17	He was out of home when I try to see him.
worker92	906	We're planning to see each other again in the near future.
worker92	373	It seems like it should be long time ago.
worker92	116	I cannot agree with you regarding the new plan.
worker92	888	I found a book which  I thought I lost it yesterday.
worker92	202	Harry was late for the class due to the accident yesterday.
worker92	423	You are going to run the plan, right?
worker98	617	Be careful, otherwise you get into trouble.  
worker98	728	He is often late for school.
worker98	781	We actually got married last year.  
worker98	391	This is the coldest winter we have had in the past ten years.  
worker98	893	It is 11 and is already bed time.
worker98	878	He is the only person who is talented among my friends.  
worker98	467	I am glad that it snowed a lot.  
worker98	745	A person who is waving at me is my uncle.
worker98	173	His life got easier since he started this job.
worker98	95	I want you to hurry up and clean the room.  
worker13	801	I went to the station to see off my uncle, just now.
worker13	301	You can talk to him tonight at his house.
worker13	283	You give only required money to the child.
worker13	565	I will occupy my self in my father's business.
worker13	104	I arrived at the airport by airplane from Chicago. 
worker13	708	I met the girl in the park, whom I met her few days ago.
worker13	186	Time is now to do it.
worker13	788	I had the experiment that I didn't believe other persons.
worker13	555	We can swim at the sea, today is hot day.
worker13	931	He talked me that he wanted to retire.
worker97	196	I have no idea what she is going to do.
worker97	309	It was kind of her to help me carrying my stuff.
worker97	10	Let's go home before the rain gets harder.
worker97	393	It is fun to travel with a bicycle.
worker97	553	I'm going to get my ticket quickly.
worker97	848	How long does it take to get there?
worker97	220	I drink 2 cups of coffee in the morning.
worker97	391	The coldness of this winter is after 10 years.
worker97	423	Are you intend to enforce the plan?
worker97	804	It rains a lot in June in Japan.
worker101	555	Today is so hot that we can swim in the sea.
worker101	667	It has been more than 4 years without any contacts.
worker101	301	You can contact him tonight in his house.
worker101	358	This is the book I was looking for 
worker101	305	We have many fishes in the sea.
worker101	256	We can get liquidation if you paid one dollar for me.
worker101	549	The newspaper is very valuable today.
worker101	325	It will be raining today.
worker101	906	I’m going to see her soon.
worker101	822	Please tell me the way to his house.
worker105	712	Read the book that is useful for you.
worker105	299	Do you think he can complete the work.
worker105	626	He started to cry as soon as he heard the news.
worker105	152	Mary break into a cold sweat with the word her teacher said.
worker105	921	This car works worse than before.
worker105	481	Confirm that the room was reserved with the hotel.
worker105	429	It is the best to take a bath when you are tired . 
worker105	116	I cannot agree with you about the new plan.
worker105	186	What will be, will be.
worker105	888	I found the book I lose yesterday.
worker15	617	It is rolled up in a problem when not careful.
worker15	283	Do not hand money more than required to a child.
worker15	462	My pen is old. I want a new thing.
worker15	542	He does not go for a movie.
worker15	878	It is only him that there is talent among my friends.
worker15	334	It is sure that an airplane arrives there on time.
worker15	927	I do not mean to say to such a thing.
worker15	840	You should talk to him.
worker15	137	Please tell me how you go to the station.
worker15	450	I appear at the station even if I go any way.
worker5	318	My friend gave the letter he asks whether I was fine to me.
worker5	95	Do you want you to clear a room quickly?
worker5	467	I'm happy because it snows much.
worker5	524	I don't want to go out without coats on such cold day.
worker5	261	It's heavy and isn't popular with me.
worker5	415	Happily he made a train.
worker5	373	I think that it seemed so before.
worker5	315	If it isn't a storm, it would be enough.
worker5	253	The 2 politicians met face to face for the first time.
worker5	202	Harry was late for the class yesterday for an accident.
worker59	893	It's 11, time to go to bed.
worker59	128	Tom's on the phone for an hour.
worker59	233	This is the best story I've ever read.
worker59	33	She kindly showed me around the town.
worker59	931	He said to me that he wanted to quit his job.
worker59	697	It was not difficult to pretend to be my mother.
worker59	378	I never want to see myself at a loss again.
worker59	610	It takes 12 minutes to walk from the station to school.
worker59	90	He never goes to the movies.
worker59	363	The thief ran away in the direction of the station.
worker101	504	He put some salt in the coffee accidentally.
worker101	159	This dictionary is valuable, and is not expensive.
worker101	788	I had some periods that i couldn’t trust anyone.
worker101	444	One day I met my classmate in the street.
worker101	917	He owns not only his bike but also his car.
worker101	875	I think my clock will have repaired by John.
worker101	805	Please take a note when she speaks.
worker101	203	I’m going to New York next week.
worker101	288	I couldn't see you because of my job.
worker101	567	I stopped my job for 2 or 3 hours for go to doctor.
worker15	671	He is known to a person of the downtown.
worker15	916	It was too late to understand a difference.
worker15	910	I always take a look at a newspaper before breakfast.
worker15	51	I return every day by 6:00.
worker15	439	You consider my thought outdated.
worker15	655	Please wake him up without forgetting it at 6:00 on the morning of tomorrow.
worker15	380	Boys sometimes played a trick on a teacher.
worker15	864	After having drunk tea, continue practicing.
worker15	173	He has good living after he begins this work.
worker15	87	I thought whether I must not sit down.
worker10	624	He does not hear father's speech entirely.
worker10	304	I cannot see any stars in the sky.
worker10	745	The man handing to me is uncle.
worker10	22	Came to mind her face at first.
worker10	104	The airplane from Chicago arrived at airport at late night.
worker10	853	You are not age for going to swim alone.
worker10	646	I make it a rule to walk at early morning.
worker10	279	It was a thing that she wants not to say.
worker10	306	We came the park for walking in a few minutes.
worker10	541	There was meeting accidentally in the day.
worker34	781	I say the truth, we got marry last year.
worker34	728	He always late to school.
worker34	17	I went to see him, he no home.
worker34	275	I decided to become journalist.
worker34	565	I will to engage in my father's work.
worker34	801	I go to the station to see my uncle.
worker34	794	I have ten years old since I began to live here.
worker34	708	I meet the girl who met the other day to the other day again.
worker34	834	On Sunday I often wake up early and go fishing.
worker34	123	When you read the book, restore place.
worker16	325	It will be rain today.
worker16	279	That is what she doesn't want to say.
worker16	788	I used not to  believe others.
worker16	888	I found the book I had lost before.
worker16	439	You think that my idea is old.
worker16	173	He have lived a better life since he started this job. 
worker16	906	I will see her in few days.
worker16	848	How many days does it need for arrival?
worker16	671	He is known to all the people in this town.
worker16	253	The two politisians meet face to face at the first time.
worker15	152	Mary broke out in a cold sweat by the words of the teacher.
worker15	363	The thief escaped towards a station.
worker15	462	My pen is old. I want a new thing.
worker15	137	Please tell me how you go to the station.
worker15	864	After having drunk tea, continue practicing.
worker15	393	It is pleasant to travel by car.
worker15	128	Tom continues talking on the telephone for one hour.
worker15	220	I always drink two cups of coffee in morning.
worker15	624	He does not hear that father says at all.
worker15	202	Harry was late for a class for an accident yesterday.
worker106	444	I met my best friend on the street the other day.
worker106	22	Her face came up with my mind first.
worker106	196	I really don't know what she's going to do.
worker106	840	You'd better talk to him.
worker106	87	I thought I was not allowed to sit.
worker106	921	This car doesn't run as smoothly as before.
worker106	450	You can get to the station whichever road you take.
worker106	712	You should read a book that is useful for you.
worker106	301	You can contact him at his house tonight.
worker106	917	He has not only a bike but also a car.
worker18	617	Unless carefull, you will involve problem
worker18	481	Sure whether book room of hotel
worker18	283	Don't pass more than money
worker18	542	He don't go to see movie
worker18	306	I came to park for a few walking
worker18	380	Boys used to mischief for teacher
worker18	318	Friend take me a letter to sure chher
worker18	305	Many fish in the sea
worker18	233	It is the most poplar story ever read
worker18	667	It hasn't heard for more than four years
worker21	565	I will engage in my father's work.
worker21	931	He told me he wanted to leave the company.
worker21	708	I met the girl saw in the park few days ago.
worker21	549	 The newspaper is very valuable in modern times.
worker21	373	It used to be like that as it was.
worker21	123	When you read the book, put it to the place where it was placed.
worker21	745	He is my uncle who waves to me. 
worker21	288	I have the work that I have to do now, so I can not meet. 
worker21	916	It was too late to notice the difference. 
worker21	801	I have been to the station to see off my uncle. 
worker16	299	Do you think he can do the work?
worker16	304	There were no stars in the sky.
worker16	186	It will so.
worker16	804	We have a lot of rain in Japan in June.
worker16	17	I went to his house, but he wasn't there.
worker16	834	I used to go fishing eraly in the morning on Sunday.
worker16	781	To tell the truth, we married last year.
worker16	33	She was very kind to show the town.
worker16	853	You are too young to go siwmming by yourself.
worker16	315	If it had not been for storm , I could have been there on time.
worker104	878	He's the only one of my friends that is talented.
worker104	116	I can't agree with you as regards the new plan.
worker104	415	Fortunately he was in time for the train.
worker104	51	I return by 6 o'clock every day.
worker104	334	It is certain that the plane will reach there on time.
worker104	875	I'm going to have my watch repaired by John.
worker104	309	She was kind enough to carry my baggage.
worker104	555	It's hot today so we can swin in the sea.
worker104	610	It takes twenty minutes to walk from the station to the school.
worker104	467	We had have a lot of snow and I am happy.
worker15	794	It is ten years after coming to live here.
worker15	261	It is heavy and is not popular with me.
worker15	524	I do not want to go out without the coat on such a cold day.
worker15	655	Please wake him up without forgetting it at 6:00 on the morning of tomorrow.
worker15	567	I stopped work for two or three hours to reach a doctor.
worker15	805	Please take the memo in what she says by all means.
worker15	553	I buy a ticket a little.
worker15	90	he does not have that he goes for a movie.
worker15	203	I come to should go to New York next week.
worker15	504	He put salt in coffee by mistake.
worker41	728	He often late for school.
worker41	10	Let's go home before rain will hard.
worker41	391	This winter is cold for the first time in ten years.
worker41	95	Please clean the room in a hurry.
worker41	429	One of the best way for tiredness is go to the bathroom.
worker41	927	I don't think such a thing.
worker41	358	This is the book just I look for.
worker41	378	I don't like look myself be disappointe.d
worker41	104	The plane arrive at airport which departed Chicago.
worker41	697	It's not difficult to imitate my mother.
worker69	910	I always look through the newspaper before breakfast.
worker69	159	That dictionary is useful and moreover reasonable.
worker69	541	There happened to be a meeting on that day.
worker69	893	It's 11:00 already, you should go to sleep.
worker69	256	Paying you a dollar will clear up.
worker69	822	Please tell me the way to his house.
worker69	626	He started crying as soon as he heard the news.
worker69	646	I make it a rule to walk early in the morning.
worker69	275	He decided to become a journalist.
worker69	423	You're going to carry out the plan, aren't you?
worker18	196	I entirely know she will do
worker18	256	It'll be clean you pay 100$ for me
worker18	17	I visit him,but he was adsens 
worker18	391	It is the most coldest winter in 10 years
worker18	504	He put solt at cofee by mistake
worker18	931	He say that he want to leave company
worker18	848	what days spent for arrive
worker18	565	I'm going to take my father's job
worker18	299	Are you belive he can do the work?
worker18	306	I came to park for few minute walking
worker16	927	I don't think to say such a thing.
worker16	137	Could you tell me the way to the station?
worker16	128	Tom have been talking on the phon for an hour.
worker16	358	This is the book which I want.
worker16	33	She was very kind to show the town.
worker16	373	What it used to be.
worker16	921	This car doesn't move better than before.
worker16	697	It is not difficult for me to be a mother.
worker16	301	You call talk with him at his house tonight.
worker16	380	The boys did bad things to teachers.
worker107	541	There was a meeting by chance
worker107	610	From the station to the school,  it takes 20 minutes.
worker107	801	I have gone to the station ,with my uncle diperturer.
worker107	261	I can't holding it , but it is so heavy.
worker107	667	 4 years I miss you.
worker107	893	It's 11:00, just sleep time.
worker107	186	It's that case at that time.
worker107	203	I'll go to New York ,may benext week.
worker107	864	After tea time, you keep the practicing.
worker107	794	I  live here 10 years ago .
worker7	363	The thief ran away for the station.
worker7	708	I met the girl who had met in the park last day.
worker7	315	If there was a storm, I could have been in time.
worker7	444	I met one of my classmates in the street last day.
worker7	309	She sincerely carried my cage.
worker7	745	It is my uncle who is waving a hand for me.
worker7	305	There are a lot of fishes in the sea.
worker7	90	He will never go out to watch a movie.
worker7	875	My watch will be repaired by John.
worker7	253	The two politicians met face to face for the first time.
worker106	415	Luckily he got on the train just in time.
worker106	804	June has a lot of rain in Japan.
worker106	462	My pen is old. I want a new one.
worker106	325	It is going to rain today.
worker106	51	I get home at six at the latest everyday.
worker106	853	I'm not young enough to go swimming alone.
worker106	781	To tell the truth, we got married last year.
worker106	318	My friend asked me if I'm fine in the letter.
worker106	275	I decided to be a journalist.
worker106	542	He doesn't go to see a movie.
worker51	481	A thief ran away to the station.
worker51	334	The plane will definitely get there
worker51	22	First I remembered her face
worker51	655	Please wake me up at 6 o'clock tomorrow morning
worker51	95	I want you to clean up the room in a hurry
worker51	10	Let's go home before the rain gets stronger
worker51	123	Please read the book and return it to its original position
worker51	617	Troubles get caught if not careful
worker51	423	It is planned to carry out the plan
worker51	917	He has a motorcycle and a car
worker0	288	I can't meet for the imminent work.
worker0	916	It was too late to understand the difference.
worker0	233	This is the most interesting story I have ever read.
worker0	393	To travel by car is fun.
worker0	220	I always drink two cups of coffee in the morning.
worker0	304	I could not see a star in the sky.
worker0	906	I am going to see her again soon.
worker0	788	Once there was even when you did not believe others.
worker0	910	I always look through the newspaper before breakfast.
worker0	624	He doesn't listen to his father at all.
worker108	279	It is what she doesn't want to say.
worker108	378	Because I don't want to see me beeing at a loss.
worker108	805	Please, Take notes what she talk.
worker108	671	He is known by people in the town.
worker108	728	He is often late at school.
worker108	467	I am glad that is great snowy.
worker108	646	I always walk around at earry morning.
worker108	888	I found the book I lost yesterday.
worker108	450	You can go to the station with any way.
worker108	524	I don't want to go out without a coat.
worker27	159	This dictionary is useful and not expensive.
worker27	202	Yesterday, Harry was late for chlass bocause of an accident.
worker27	549	Newspeper is very inportant for today's world.
worker27	173	He is making good life from he start this work.
worker27	555	Today is hot,so we can swim.
worker27	116	I don't agree this new plan.
worker27	152	Meary sｗeated cold because she taken her teacher's voice. 
worker27	712	Read the book for your use.
worker27	283	Don't hand money our children that over need. 
worker27	439	You think that my idea is outdated.
worker44	553	I'll buy a ticket and will be back soon.
worker44	840	we'd better to talk to him.
worker44	429	It's the best thing to take a bath when you are tired.
worker44	567	I get a break for a couple of hours to see a doctor.
worker44	822	please let me know how to go to his house.
worker44	104	The airplane from Chicago arrived late at night.
worker44	878	He is the only man who has a talent among my friends.
worker44	834	I used to get up early to go fishng on Sunday.
worker44	87	I thohgt I was not allowed to have a seat.
worker44	626	He started to cry after hearing the news.
worker109	728	He is often late for school.
worker109	378	Because I do not want to see myself who was bewildered.
worker109	415	fortunately he was in time for the train.
worker109	646	I make it a rule to take a walk early in the morning.
worker109	33	She kindly showed me around the city.
worker109	358	This especially is the book that I was looking for.
worker109	256	If I pay you a dollar you will be adjusted.
worker109	667	I did not correspond for over 4 years.
worker109	220	I always have two cups of coffee in the morning.
worker109	708	I met the girl who met the other day again.
worker18	373	Like it was so
worker18	279	It was she want to say
worker18	305	Many fish in the sea
worker18	275	I determind to be journalist
worker18	916	It was so late to know difference
worker18	822	Pleas teach me of way to his house
worker18	90	Not likely he will go to the movie
worker18	233	It is the most intersting story ever read
worker18	391	It is the most coldest winter for 10 years
worker18	288	Don't meet for lmminent job
worker106	805	You must take notes what she says.
worker106	304	I couldn't see any stars in the sky.
worker106	429	The best thing is to take a bath when you are tired.
worker106	788	Once there was time I couldn't believe others.
worker106	159	The dictionary is useful and not expensive.
worker106	318	My fiend asked me if I'm fine in the letter.
worker106	450	You can get to the station whichever road you take.
worker106	555	We can swim in the sea because it is hot today.
worker106	848	How many days does it take to get there?
worker106	504	He put some salt in the coffee by mistake.
worker7	781	To be honest, we got married last year.
worker7	393	It is fun to travel with a car.
worker7	196	I have no idea what she is going to do.
worker7	864	Keep practicing after drinking a tea.
worker7	610	It takes 20 minutes from station to my school.
worker7	380	The boys sometimes get into mischief to their teacher.
worker7	299	Do you think if he can do this job not?
worker7	334	It’s certain that this plain will arrive on time.
worker7	22	I straitly imaged her face.
worker7	173	He goes well after beginning this job.
worker110	95	I want to clean in room.
worker110	671	He is town people khow.
worker110	283	do not  money to child.
worker110	309	she is kindnes take my bag.
worker110	801	I am go to the station.
worker110	541	sometaime party this day.
worker110	104	to late take on airport.
worker110	624	he is not to his father.
worker110	626	he is know to said.
worker110	301	you can his house to contact toknigt. 
worker18	745	It is my uncle wave hand 
worker18	261	It is so heavy to have
worker18	87	I wonder can't sit there
worker18	423	You will practice the plan and you?
worker18	834	I used to go fishing early morning on sunday
worker18	186	 At that time that time
worker18	123	Put origen place after reading
worker18	655	Don't forget wake me at 6 morning tomorrow　
worker18	875	I am going to repair my watch by jhon
worker18	906	It is supposed to meet her nearly
worker49	315	I'd probably have made it on time if there wasn't a storm.
worker49	467	It'd be great if a lot of snow fell.
worker49	51	I get home by 6 every day.
worker49	888	I found the book I lost yesterday.
worker49	444	I met my classmate on the street a few days ago.
worker49	910	I always read the newspaper before breakfast.
worker49	697	It wasn't hard for me to pretend to be my mother.
worker49	878	Of all my friends, he's the only one with talent.
worker49	927	Of course, I didn't mean to say such a thing.
worker49	542	He doesn't go to the movies.
worker106	853	You are not young enough to go swimming alone.
worker106	152	The words that the teacher said made Mary break into a cold sweat.
worker106	567	I stopped working for a few hours to go to see a doctor.
worker106	439	You regard my idea as old-fashioned.
worker106	794	It has been ten years since we started to live here.
worker106	116	I can't agree with you in terms of the new project.
worker106	203	I am probably going to go to New York next week.
worker106	128	Tom has been talking for an hour on the phone.
worker106	325	It is going to rain today.
worker106	804	June has a lot of rain in Japan.
worker36	17	I went to see him but he was not at home.
worker36	840	It is better to talk to him.
worker36	202	He was late for the yesterday's class because of an accident.
worker36	137	Could you please tell me how to get to the station?
worker36	565	I will join my father's business.
worker36	921	The condition of this car is no longer excellent.
worker36	712	You should read useful books for you.
worker36	553	I'm going to go and buy the ticket.
worker36	931	He told me that he wants to quit his job.
worker36	10	Going back to home before becoming heavy rain.
worker7	306	We arrived at the park after walking a minute.
worker7	363	The thief ran away for the station.
worker7	549	Newspapers deserves well in today’s world.
worker7	462	My pen is old. I want a new one.
worker7	917	He has not only a bike but also a car.
worker7	617	You should be careful otherwise you will encounter troubles.
worker7	253	The two politicians met face to face for the first time.
worker7	481	Be sure to ask the hotel whether it reserve the room or not.
worker7	524	I don’t want to go outside without a coat in this chilly condition.
worker7	893	It’s 11 PM. It’s time to go to the bed.
